cityState,state,sitesScreened,noSchema,noViewport,staleCopyright,companiesNamed,namedCompanies,tier,tierNote,aiCheckedOn
"Charleston, SC",SC,8,0,0,1,5,"Big Bear Roofing; New Beginnings Construction, Inc; Powell Roofing LLC; Charleston Roofing and Exteriors; 843 Roof LLC",GREEN,,2026-09-10
"Charlottesville, VA",VA,8,3,2,0,5,"Roof Top Services LLC; Blue Ridge Roofing, Inc; Cenvar Roofing - Charlottesville; Apex Roofing, LLC; Valley Roofing & Exteriors",YELLOW,the answer elevates one company as the overall best,2026-09-10
"Chattanooga, TN",TN,8,3,1,1,5,Langley Roofing; RoofingCo.com; Sentri Roofing; Local Roofer - Chattanooga; Lee Roofing,GREEN,,2026-09-10
"Cheyenne, WY",WY,8,2,0,0,4,"Premier Roofing Solutions; Capitol Roofing, Inc.; Inman Roofing Inc.; Saddle Roofing",GREEN,,2026-09-10
"Coeur d'Alene, ID",ID,8,0,0,1,5,Western Construction & Roofing; Bryce Roofing; SkyRight Roofing and Gutters; Ketron Roofing; Glacier Roofing & Exteriors,GREEN,,2026-09-10
"Abilene, TX",TX,7,1,0,0,5,"Thornton's Roofing Company; Fat Matt Roofing; Barr Residential Roofing Services; Hale Roofing & Construction, LLC; Chad Dodson Roofing Abilene",GREEN,,2026-09-10
"Birmingham, AL",AL,7,0,0,0,5,Green Valley Roofing & Construction; Patriot Roofing and Builders LLC; Eagle Roofing and Construction; The Roofing Dudes; Cardinal Roofing,GREEN,,2026-09-10
"Bloomington, IN",IN,7,1,0,0,5,"RCV Roofing, Siding & Gutters; Koontz Roofing & Exterior Construction; Kingdom Roofing Systems; Rapid Roofing & Restoration; AMI Roofing Contractors, Inc.",GREEN,,2026-09-10
"Chesapeake, VA",VA,7,0,0,1,4,Jayhawk Exteriors; Roofing Systems of Hampton Roads; Atlantic Craftsman LLC; Gray Line Roofing,GREEN,,2026-09-10
"Broken Arrow, OK",OK,6,1,0,0,5,Tier-One Roofing; Blacksmith Roofing & Construction LLC; Firehouse Roofing Co.; Solid Roofing; ARK Roofing & Construction,GREEN,,2026-09-10
"Carmel, IN",IN,6,1,0,0,5,Red Bird Roofing; Beard Roofing and Exteriors; Element Roofing; The Roof Squad; Jax Roofing Company,GREEN,,2026-09-10
"Cincinnati, OH",OH,6,0,0,0,5,"Deer Park Roofing, LLC; Molloy Roofing Company; New Heights Roofing; Advantage Roofing; SWORD Roofing",GREEN,,2026-09-10
"Athens, GA",GA,8,0,0,1,4,Christian Roofing & Remodeling; Black Dog Roofing; Athens Roofing; MLW All Phase Construction & Roofing,GREEN,,2026-09-10
"Biloxi, MS",MS,8,2,0,0,4,ENSURED Roofing; Integrity Roofing; Castle Roofing; Expert Roofing,GREEN,,2026-09-10
"Bowling Green, KY",KY,8,1,0,1,6,DC's Roofing and Contracting; Build 2 Suit: Roofing Division; Eric Gill Roofing & Carpentry; Freedom Contracting; Best Choice Roofing; Kaliber Contracting,GREEN,,2026-09-10
"Casper, WY",WY,8,1,0,0,4,Breit Roofing; MC Roofing; Excel Roofing - Casper; Limmer Roofing Inc,GREEN,,2026-09-10
"Augusta, GA",GA,7,1,0,0,5,"RCS Roofing Company; Southpaw Roofing; Armour Roofing; Crosby Roofing; Penn Roofing, Inc",GREEN,,2026-09-10
"Bridgeport, CT",CT,6,0,0,0,4,"Cruz Roofing and Siding; Preference Construction, Roofing and Home Improvement; Fairfield Roofing; T&C Roofing & Construction, LLC",GREEN,,2026-09-10
"Ann Arbor, MI",MI,4,0,0,0,5,"GoTo Roofing, Inc.; Neighborhood Roofing; Roof Advance; Imperial Building & Roofing; Mr. Roof",GREEN,,2026-09-10
"Columbia, MO",MO,4,0,0,0,4,Resolve Roofing; CoMo Premium Exteriors; ROOF U.S.A.; Midwest Roofing,GREEN,,2026-09-10
"Allentown, PA",PA,7,0,0,1,4,ROOFX Roofing; Roofera; In The Light Roofing; Bachman's Roofing,GREEN,,2026-09-10
"Binghamton, NY",NY,7,1,0,1,5,"Reliance Roofing, LLC; BSR Roofing llc; Dave Wagner Roofing LLC; Platinum Roofing and Construction; Guaillas Roofing INC",GREEN,,2026-09-10
"Boulder, CO",CO,7,1,0,0,4,Roof Masters of Colorado; 1st Response Roofing Ltd.; Boulder Roofing; Thomsen Roofing,GREEN,,2026-09-10
"Cary, NC",NC,7,1,0,0,4,On Tops Roofing; Barkley-Jensen Roofing and Restoration; Legacy Construction and Roofing; Storm Guard Roofing and Construction of Apex-Cary,GREEN,,2026-09-10
"Chico, CA",CA,6,2,0,0,4,Allegiant Roofing; Butte Roofing Co; Chico Roofing Company; Sierra Roofing Company,GREEN,,2026-09-10
"Burlington, VT",VT,7,2,0,0,4,Vermont Construction Company; CG Family Construction | Roofing Division; JSS Roofing Contractors; Three Mountain Roofing,GREEN,,2026-09-10
"Canton, OH",OH,7,2,0,0,6,Hof Roofing & Construction; Canton Roofing Company; Royalty Roofing; Shane Fisk Roofing Company Inc.; Henderson Roofing & Construction; Anthony Roofing - Canton,GREEN,,2026-09-10
"Charleston, WV",WV,4,2,0,0,5,Elite Roofing-Charleston; Rainstoppers Roofing; Almost Heaven Roofing; Fahey Roofing + Contracting; Alpine Roofing,GREEN,,2026-09-10
"Brownsville, TX",TX,4,0,0,0,4,CA Roofing; Pride Roofing Xperts; Owen Roofing Company; McAllen Valley Roofing Co.,GREEN,,2026-09-10
"Alexandria, LA",LA,4,1,0,0,4,Ducote Roofing and Repair LLC; NELA Roofing; Best Price Roofing; Edwards Roofing and Construction,GREEN,,2026-09-10
