cityState,state,sitesScreened,noSchema,noViewport,staleCopyright,companiesNamed,namedCompanies,tier,tierNote,aiCheckedOn
"Chico, CA",CA,10,2,0,1,4,"Bob's Air Repair; Climate & Energy Solutions; Royal Aire Solar, Heating, Air & Water; Alternative Heating & Air",GREEN,,2026-09-08
"Coeur d'Alene, ID",ID,10,1,0,0,6,"J.A. Bertsch Heating and Cooling; Pillar, Heating Air Appliance; Andy's Heating and Air Conditioning; ACI Northwest; Thermal King Heating, Air Conditioning & Plumbing; Bill's Heating & A/C",GREEN,,2026-09-08
"Abilene, TX",TX,9,0,0,0,5,"Quality Cooling, Heating & Plumbing; Olympus Electric & Air; Cutting Edge Air Conditioning and Heating; Pro Flo Heating and Air LLC; Hawkins Air Conditioning",GREEN,,2026-09-08
"Akron, OH",OH,9,1,0,0,6,"Novak Heating & Cooling; Jennings Heating & Cooling; Lakes Heating & Air Conditioning; Choice Aire Heating & AC; J&J Plumbing, Heating & Cooling; Echols Heating & Air Conditioning",GREEN,,2026-09-08
"Albuquerque, NM",NM,9,1,0,0,5,"Thompson Heating & Air Conditioning; Air Care New Mexico; Wagner Air Conditioning, Heating, Plumbing & Electrical; Signature Heating, Cooling & Plumbing; Anderson Air Corps",GREEN,,2026-09-08
"Ann Arbor, MI",MI,9,2,0,0,5,Indoor Comfort Heating & Cooling; CMR Mechanical; Koch & White Heating and Cooling; Comfort Mechanical Heating and Cooling; Haley Mechanical,GREEN,,2026-09-08
"Annapolis, MD",MD,9,2,0,0,4,"Barstow & Sons Heating and Cooling; Staton Heating, Cooling & Plumbing; Coastal Heating & Air Conditioning Co., Inc.; Pro-Tech HVAC Home",GREEN,,2026-09-08
"Beaumont, TX",TX,9,1,0,0,5,Efficient Systems AC & Plumbing; Delta Air Conditioning; 409 Group A/C & Home Services; Reed Service Company; True Temp Air Conditioning & Heating Inc.,GREEN,,2026-09-08
"Biloxi, MS",MS,9,0,0,0,4,"Ball Heating, Cooling, Plumbing & Electrical; Comforts on the Coast; Broussard Services; North Bay Heating & Air",GREEN,,2026-09-08
"Bismarck, ND",ND,9,1,0,0,5,Bismarck Heating & Air Conditioning; Preferred Heating & Air; Ed's Heating & Air; Quick Fix Air Comfort - Heating & Cooling; Advanced Mechanical Inc.,GREEN,,2026-09-08
"Boca Raton, FL",FL,9,0,0,0,5,"American Air Conditioning of Boca; AC Cool Air; M & R Air Conditioning Services; Aire Serv of Boca Raton; Palm Air Air Conditioning, Inc.",GREEN,,2026-09-08
"Cary, NC",NC,9,1,0,0,4,Comfort Pro LLC; AC Today Heating & Air Conditioning; Phil N. Great Heating & Cooling; Boer Brothers Heating & Cooling,GREEN,,2026-09-08
"Castle Rock, CO",CO,9,0,0,0,4,"Nytech Heating, Cooling, and Plumbing; Avalanche HVAC Services; Patriot Pros Plumbing, Heating, Air & Electric; Colorado Bear Heating & Air",GREEN,,2026-09-08
"Chandler, AZ",AZ,9,1,0,0,5,Climate Pro LLC; Superior Heating and Air Conditioning; All Out Cooling & Heating; Chandler Air; Precision Air & Plumbing,GREEN,,2026-09-08
"Charlottesville, VA",VA,9,1,0,0,5,"Albemarle Heating & Air; The Otter Guys; David Ashcom Heating & Cooling, LLC; Beck Cohen; Comfort Source",GREEN,,2026-09-08
"Cincinnati, OH",OH,9,2,0,0,8,"Apollo Home; Logan Services A/C, Heat & Plumbing; Thomas & Galbraith; Quality Comfort Home Services; JonLe Heating & Cooling; Zimmer Heating & Cooling; Gerard Heating & Air; Living Better Heating & Cooling",GREEN,,2026-09-08
"Colorado Springs, CO",CO,9,2,0,2,5,"High Altitude Heating & Air; Comfort By Design; Home Heating Service, Inc.; A & A Professional Cooling and Heating; Reliable Heating & Cooling LLC",GREEN,,2026-09-08
"Columbia, MO",MO,9,1,0,0,4,"Chapman Heating, Cooling, and Plumbing; MasterTech Plumbing, Heating and Cooling; Accurate Heating & Cooling; Aire Serv of Columbia, MO",GREEN,,2026-09-08
"Albany, NY",NY,8,0,0,0,4,"Crisafulli Bros. Plumbing & Heating Contractors, Inc.; Family Danz Heating and Cooling; E.W. Tompkins Plumbing Heating Cooling; Best Cooling & Heating, LLC",GREEN,,2026-09-08
"Alpharetta, GA",GA,8,1,0,0,5,"North Point Heating and Air Conditioning; 4 Seasons Heating & Air; Gagne Heating & Air Conditioning; Reliable Heating & Air, Plumbing and Electrical; HVAC Bee Alpharetta",GREEN,,2026-09-08
"Amarillo, TX",TX,8,1,0,0,5,"Gary's Heating and Air Conditioning, Inc.; Amarillo Air Conditioning LLC; Snow Bear Heat and Air Amarillo; Avalos Heating & Air, LLC; Matthew's HVAC Services",GREEN,,2026-09-08
"Anchorage, AK",AK,8,2,1,0,4,Diamond Heating & AirTemp Alaska; Extreme Heating and Air; Discount Mechanical Heating and Plumbing; Moore Heating,GREEN,,2026-09-08
"Appleton, WI",WI,8,1,0,0,7,"Black-Haak Heating; Modern Sheet Metal Heating & Cooling; Bob's Quality Heating & Air Conditioning; Blount Heating & Air Conditioning Inc; Healthy Home Heating & Cooling; B&P Mechanical; Hurckman Mechanical Industries, Inc.",GREEN,,2026-09-08
"Asheville, NC",NC,8,0,0,1,6,White & Williams Co. Inc.; MB HAYNES Corporation (HAYNES Heating & Cooling); Mountain Air Mechanical Contractors; Quality Air; Call Dad; Bullman Heating & Air Inc.,GREEN,,2026-09-08
"Birmingham, AL",AL,8,1,0,1,4,"Skelton's Heating, Cooling & Plumbing; Standard Heating, Cooling & Plumbing; Aire Serv of Birmingham; Ethridge Heating and Air",GREEN,,2026-09-08
"Bradenton, FL",FL,8,0,0,0,5,"Air & Energy; Air & Heat Inc; Elite Cooling, Heating, Plumbing, & Electrical; One Hour Air Conditioning & Heating; America's Choice Air and Refrigeration",GREEN,,2026-09-08
"Charleston, SC",SC,8,0,0,1,5,"Anchor Heating and Air LLC; Holy City Heating & Air, LLC; Smoak's Comfort Control; M&B Heating and Air; Carolina Climate Control",GREEN,,2026-09-08
"Chattanooga, TN",TN,8,1,0,1,5,"Malone Heat & Air; Reliable Heating & Air Conditioning Co., Inc.; Eldridge Service Company; Rivertech Heating & Air Conditioning; Best Heating and Air Conditioning",GREEN,,2026-09-08
"Clearwater, FL",FL,8,0,0,0,5,"Advanced Cooling Systems; Pleasant AC; Anytime Air, Inc.; ACS Home Services; Reliant Heating and Air Conditioning, LLC",GREEN,,2026-09-08
"College Station, TX",TX,8,1,0,0,6,"Barker's Cooling, Heating & Plumbing; Malek Service Company; Morgan Air Conditioning & Reclamation; Brazos Valley AC Services & Repair; BCS Air Solutions; Aire Serv of Aggieland",GREEN,,2026-09-08
"Athens, GA",GA,7,0,0,1,4,"Stanfield Air Systems; Reliable Heating & Air, Plumbing and Electrical; Debalski Heating & Cooling; McGee Heating & Air",GREEN,,2026-09-08
"Boulder, CO",CO,7,1,1,1,5,"Save Home Heat Company; Comfort Zone Heating & Air Conditioning; Boulder Heating & AC, LLC; Meyers Heating & Air Conditioning; Jim Needham Heating & Cooling",GREEN,,2026-09-08
"Champaign, IL",IL,7,1,0,1,5,"Lanz Plumbing, Heating & Cooling, Inc.; Mattex Heating, Cooling, Plumbing, Drain and Electrical; Castle Home Comfort Heating, Cooling, Electrical & Plumbing; Fred's Plumbing Heating Air Conditioning; Bash Heating & Air Conditioning Inc",GREEN,,2026-09-08
"Chesapeake, VA",VA,7,0,0,0,5,Atlantic Coast Heating and Cooling; Simmons Heating & Cooling; Russell's American Mechanical; Chesapeake Heating & Air Conditioning; Michael & Son Services,GREEN,,2026-09-08
"Bellingham, WA",WA,9,2,0,0,5,"Marr's Heating, AC, Plumbing & Electrical; West Mechanical Heating Cooling Electrical, Plumbing; Clean Air Heating & Cooling; Feller Heating & Air Conditioning; Barron Heating AC Electrical & Plumbing",GREEN,,2026-09-08
"Binghamton, NY",NY,9,1,1,1,5,"Auchinachie Services Plumbing, Heating & Cooling; ANC Heating & Air Conditioning; Arctic Bear Heating, Air, Plumbing & Water Treatment; A.J. Leto & Sons Plumbing, Heating & Air Conditioning; Sure Temp Heating & AC",GREEN,,2026-09-08
"Clarksville, TN",TN,9,0,0,0,5,"Mainstream Heating & Cooling; Hiller Plumbing, Heating, Cooling & Electrical; One Hour Heating & Air Conditioning; Action Air Conditioning Service Inc; Baggett Heating & Cooling, Inc",GREEN,,2026-09-08
"Cedar Rapids, IA",IA,8,0,0,0,4,"Colony Plumbing, Heating & Air Conditioning; Novak Heating, Air & Duct Cleaning; Schaal Plumbing, Heating and Cooling; Master Plumbing, Heating & Cooling",GREEN,,2026-09-08
"Broken Arrow, OK",OK,7,1,0,0,4,"Air Assurance Heating, Air Conditioning & Plumbing; Mark Hill Heating & Air; Okla-Home Heating & Cooling; Urgent Air Heating and Air Conditioning",GREEN,,2026-09-08
"Bend, OR",OR,8,0,0,0,4,"Central Oregon Heating, Cooling, Plumbing & Electrical; Mountain View Heating, Inc.; Home Heating & Cooling, Inc; Diversified Heating & Cooling, Inc.",GREEN,,2026-09-08
"Brownsville, TX",TX,8,2,1,1,5,Brownsville Heating & Air Conditioning; Texas Air Conditioning; AMERICAS TECH A/C & REFRIGERATION LLC; Dan's Air Conditioning Maintenance LLC; Texas Lone Star AC & Heating LLC,GREEN,,2026-09-08
"Canton, OH",OH,8,0,0,0,5,GMC Pros Heating & Cooling; My HVAC Guy; Quality Heating & Cooling; Blind & Sons; Forquer Heating & Cooling,GREEN,,2026-09-08
"Bridgeport, CT",CT,7,2,1,0,4,"M & M Heating & Cooling, LLC; Celco Heating & Air Conditioning; Ray's Heating and Cooling LLC; Alliance Heating & Air Conditioning",GREEN,,2026-09-08
"Burlington, VT",VT,6,1,0,2,6,"Green Heat; Vermont Energy Contracting; Lloyd Plumbing Heating Air Electrical; Benoure Plumbing, Heating & Air Conditioning; A Cooper Mechanical, Inc.; Red Rock Mechanical, LLC",GREEN,,2026-09-08
"Casper, WY",WY,5,1,0,0,6,"24 Hour Heating & Air Conditioning; Equality State Heating & Cooling; Air Comfort Complete, Inc.; Air Innovations, Heating and Air Conditioning; Casper Tin Shop; Arrowhead Heating & Air Conditioning",GREEN,,2026-09-08
"Bloomington, IN",IN,6,4,2,0,7,"Keller Heating & Air Conditioning; Commercial Service; Ecofriendly Mechanical; Reliable Comfort; Peterman Brothers; Summers Plumbing Heating & Cooling; Chapman Heating, Air Conditioning, Plumbing, and Electrical",GREEN,,2026-09-08
"Charleston, WV",WV,6,0,0,0,5,"Dodrill Comfort & Energy Solutions; Mullen Plumbing, Heating & Cooling; Best Virginia Heating, Cooling, Electrical and Plumbing; DarnoldLyons Heating Cooling; Charleston Heating Co Inc",GREEN,,2026-09-08
"Cheyenne, WY",WY,6,2,0,0,6,Advanced Comfort Solutions; Marv's Plumbing & Heating; Mister B's Heating and Cooling; Rocky Mountain Mechanical; The Furnace Shop Inc; The Martens Company Heating and Cooling,GREEN,,2026-09-08
"Alexandria, LA",LA,6,0,0,0,3,Bigfoot Electric & AC; ACA Air Conditioning Heating & Plumbing; Southern Air & Plumbing,GREEN,,2026-09-08
"Carmel, IN",IN,6,1,1,1,5,"Appel Heating & Air Conditioning; Edge Guys Heating & Cooling; Williams Comfort Air; Nardco Heating & Air Conditioning; Service Plus Heating, Cooling, Plumbing & Electrical",GREEN,,2026-09-08
