cityState,state,sitesScreened,noSchema,noViewport,staleCopyright,practicesNamed,namedPractices,tier,tierNote,aiCheckedOn
"Idaho Falls, ID",ID,8,0,0,0,3,Sandcreek Dental; Eagle Rock Dental Care; Cline Family & Cosmetic Dentistry,GREEN,,2026-09-08
"Savannah, GA",GA,8,0,0,0,2,Savannah Dental Solutions; Beyond Exceptional Dentistry,YELLOW,,2026-09-08
"Tulsa, OK",OK,8,1,0,0,4,Utica Dental of Tulsa; Tulsa Dental Center; Perfect Smile Tulsa; Tulsa Premier Dentistry,GREEN,,2026-09-08
"Beaumont, TX",TX,7,1,0,1,5,"Cornerstone Dental; Beaumont Dental Care; Justin L. Morrison, DDS; Beaumont Smile Center; Southern Oaks Dental Care",GREEN,,2026-09-08
"El Paso, TX",TX,7,2,0,0,5,Southwest Celebrity Smiles; Agave Dental Care; El Paso Modern Dentistry; The Dentist; East El Paso Dentist,GREEN,,2026-09-08
"Lancaster, PA",PA,7,2,0,1,4,Healthy Smiles Dental; Family Dentistry of Lancaster; Dentistry For Life; IrisDental,GREEN,,2026-09-08
"Manchester, NH",NH,7,1,0,1,5,Vachon Dental; Manchester Family Dentistry; Manchester Advanced Dental; Mann Family Dental of Manchester; Gentle Dental Manchester,GREEN,,2026-09-08
"Norman, OK",OK,7,1,0,1,5,Blum & Tinsley Dental Clinic; Brookhaven Dental; Espire Dental Norman; Norman Family Dentistry; Dental Edge of Norman,GREEN,,2026-09-08
"Omaha, NE",NE,7,1,0,0,2,Pacific Hills Dental; Evergreen Dental Group,YELLOW,,2026-09-08
"Roanoke, VA",VA,7,1,0,0,4,Hunting Hills Family Dentistry; Valley Family Dentistry; Irby Dentistry; Northeast Roanoke Dentistry,GREEN,,2026-09-08
"Springfield, MO",MO,7,1,0,0,1,Kelly Dental of Springfield,RED,,2026-09-08
"Lafayette, LA",LA,6,1,0,0,3,Dental Artistry; Theriot Family Dental Care; Barras Family Dentistry,GREEN,,2026-09-08
"Longview, TX",TX,6,0,0,1,3,"Clint Bruyere, DDS; Darr Dentistry; Longview Family Dental",GREEN,,2026-09-08
"Ocala, FL",FL,6,1,0,0,2,Weldon Implant and Cosmetic Dentistry of Ocala; Advanced Dental Care of Ocala,YELLOW,,2026-09-08
"Overland Park, KS",KS,6,0,0,1,3,Kansas Dental Center; Bowles Dental - Overland Park; Deer Creek Family Dental,GREEN,,2026-09-08
"Santa Rosa, CA",CA,6,0,0,0,4,"Andrew T McCormick, DDS; Sean Wilson, DDS; Santa Rosa Dentistry; Santa Rosa Dentistry & Implant Center",GREEN,,2026-09-08
"Panama City, FL",FL,5,0,0,0,1,Smiles in the Cove,RED,,2026-09-08
"Rochester, NY",NY,5,1,0,1,4,Vincent Vella DDS PC; Contemporary Dentistry; Elmwood Dental; East Avenue Dentistry PLLC,GREEN,,2026-09-08
"Myrtle Beach, SC",SC,7,0,0,2,3,"Sand Oak Dental Care; Fairway Dental; Michael J. Maser, DMD, MAGD",GREEN,,2026-09-08
"Daytona Beach, FL",FL,6,2,0,2,4,Daytona Elite Dental; Indigo Dental of Daytona Beach; Beville Dental Care; Mid-Florida Endodontics,GREEN,,2026-09-08
